title,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link
Underworld  Awakening,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABerQuP4mRWZ1k8dgv6xw8QB1JfWjN-IFjOIA7otm3sx7MRfuAs6zvtjlRX2XAtgnU33jv1BqEyCSBrXWQcTRIHSOHg.jpg?r=82e
Waynes World,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRZLj3Ml6-P9s8RK3BLb__V00_U-4MKga_wPXZ7RjJgAWP1aO285_angzLLs1bT-AEVyziPl-VDFFd7O9mJRAJ3QZw.jpg?r=e23
The Grudge,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-299-1007.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ6yLdivFBuvKStny8E3I3VPV3Lhp_jr9LwnpuJtLiX8b2U08yfCa3dQSUbY1ianCO3YjXi6wRV_T3m3yle7avUzTg.jpg?r=3d7
Sing,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRn96NUyLDV6iew9wSLb6qcalceDmZ2XwppqPUaxZm9rMUw9i6qbhpZ2emycvL6vo3t2ZbEzz5U-MF1DpSJFrSWeVw.jpg?r=52e
Robots,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://occ-1-2219-1361.1.nflxso.net/art/7def4/55edc6d45fed456b884b64cdd59e30beb697def4.jpg
The Lego Batman Movie,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa7Y3UNw1DjuI8qYtrTaUWsRgXRlg9i-NFgiHh9s6npz4iZXfjqklfeH8i1WFSrMuiE4ytkRVsl8-S3nyqnSDEJ8qg.jpg?r=969
Matilda,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRJe-JnfCO4RZ8h17zOHz1o-89NF4HWu8VivJCLzddv6MAHjFl92_MiR5zHAKtPnDrSHqRRbeqsxTDsCw4lY-0CGzw.jpg?r=b80
The Dark Tower,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYtVej3_b_IjSI1SYVh_RzKzQuYHQHVQNy6UDRQgoKUHm5MJJ4QHmiAoCpRVcqbeN57bLh-RfgvLfrfWw6_dP05Jvg.jpg?r=746
Ponyo,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXPWHyo0VidEtUYTN2aUH_OG6CFd7waSUE7TdzA35g8CchdAT_TvwquWP5ISm4b7nw-ReTtXx4W1m5rYr_ktJ0poGw.jpg?r=4d4
Eragon,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXZEJrXRY3KeMGDr9XDjUVLTSlUQYWRUVbAPHVVJxm2JaKb1MjYdD8x8n3lbKNiQ6O3FVEg5FVaZuw2r76vXidQ3-w.jpg?r=573
Oculus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTUPnLeVAymqwnqxOWqRf8kNE9buf0bhtBKOLr5sMERBWLdDSwCiJ8BP2YqAVW8GwiLjs_slCfqmlFiMUhe1OvmvAg.jpg?r=e43
Aliens vs. Predator 2,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-64-325.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc24FYMqLjICyNy_uDmyJi6BHGj6WRvNIBXdfhYa4MijYySP1nuCajW0bO_YIxcWux2m-E-F5oWixZWfPSawyIGn7w.jpg?r=080
House of Wax,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQRmUyRJ7tV7wYG3c4GAeUUeIbnULw_eK7N4PUsMs6QZ0r2FlPqP0wpNIByRTrUIyeILrHZqtBrZuJQsR1n-wuVTpQ.jpg?r=d41
One Punch Man,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABStseB8vSUe-qmfkTHrsD-Xynol2g_eB9lPLf9NEU3SIaEzKkEXq1QIvZh0Yg9Z3HMRicbkDE7Po_oZlxk3eyT6NdA.jpg?r=4cc
Yesterday,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSV8puIiBwfbi6FvarbhkOEr5m2WEoPNBsxGvElGtBjf1y_I9FtBYlQLFJSQZSKr_2RRaOwqXfemDN5YO-XDon4Vlw.jpg?r=aaa
Flushed Away,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYqse6L564pNRuU6WAe3AtivldTCMuEPSNpKGYirxfagD5Pb5kJVR9BdPUCClMa-rceu5xsGC1o3lzMScjUvK6Jfew.jpg?r=461
The Boss Baby,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTm6IT01W6wUhZpichUA2V5eAbHiai79wi6JW9srZEC777buC2yrtZeQLHVUjzNUbDRDYbnsb84c6_EqK0hOVyHqGg.jpg?r=3ad
Music and Lyrics,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVztMdTDHWX4VhB19EZ87GMCuoJC1pYxV5uoWrY5Dx5OLrzE9lno17jhiKUL2yU_CxtTZTU_aVfZ1T2kS0Cczm4Y4A.jpg?r=917
"Love, Death and Robots",0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZSs_wR1dsMLek1W6ozbYGj7w1T96PgzpN8LMHgmcyhwxcZ2I1pRgjx6c7gSNb7_bdzMRij6IWtEOm452qDiG1Kaor_ppYG5-70T2Vof6U3Ys_1GSD3-SRgiXpo.jpg?r=07c
When They See Us,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXM-M50kaH2UqwhYYUGwJC7W1LoRV7-kmEGJwGd91RJ5774jZ-nix4HOdAjZC3c-eRd7TRBwIpJoSxXBFX-cYTOaHYxP0fSgmAeahZMCN5yIiACYBY0Gv0cNXIM.jpg?r=662
The Last Kingdom,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdj5qyRH3UyX-JCNbI0jtotveihjBpDT5gRTTMZ1NnLzSzrpfNpnr_Jgean8x1vlaTHsGy_Zh3Rw-qrJws6AwX3q7_CZ0ihGG2Zl5V0UgdqQS0VooXqoq6xLYJBkRF7vJfjRCFtdCVhedeenAKqv3sz6b9j6.jpg?r=25a
The Assassination of Gianni Versace,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZUr5d-JBYgOURbC6EefmCHX8SgHNEzwJHi0tBNF3cjCI6j8KxNbh07ZhgCcgPe4E8_-a4qdGZN2hOi3mV5eTjMSjQ.jpg?r=d83
The People v. O.J. Simpson,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABd9OnBK6zjETXCq0V-2hxoxlSDF6DSKDhU-ZlHgAQOecs9ok3z8IPh5GKUtExyTqFxqh7-4HtqGbj80n-XpV3aC6PQ.jpg?r=f95
The Duchess,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQYi9QbrCVoYEx0QAIklMIsuxsjf0cN1L2Pwc2NBxgRSpTlJcv188nygMLnKLnmapaK_Upf4DbN-L-3cGhNlwMHvXAQZRIiPER5Abt47qw7qt84BWaNe5j0lwcY.jpg?r=486
